sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 1, tps: 48.03, reads: 681.42, writes: 0.00, response time: 21.92ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 1, tps: 51.00, reads: 713.02, writes: 0.00, response time: 21.30ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 1, tps: 51.00, reads: 710.96, writes: 0.00, response time: 21.16ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 1, tps: 49.00, reads: 694.06, writes: 0.00, response time: 21.02ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 1, tps: 51.00, reads: 706.96, writes: 0.00, response time: 21.33ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 1, tps: 49.00, reads: 680.02, writes: 0.00, response time: 21.77ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 1, tps: 51.99, reads: 738.92, writes: 0.00, response time: 20.27ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 1, tps: 51.01, reads: 712.10, writes: 0.00, response time: 20.90ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 1, tps: 51.00, reads: 714.96, writes: 0.00, response time: 20.70ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 1, tps: 52.00, reads: 719.02, writes: 0.00, response time: 20.81ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 1, tps: 52.00, reads: 728.93, writes: 0.00, response time: 21.18ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 1, tps: 50.01, reads: 701.09, writes: 0.00, response time: 22.31ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 1, tps: 51.00, reads: 719.96, writes: 0.00, response time: 21.68ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 1, tps: 50.00, reads: 691.02, writes: 0.00, response time: 21.54ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 1, tps: 50.00, reads: 707.98, writes: 0.00, response time: 23.14ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 1, tps: 50.00, reads: 705.05, writes: 0.00, response time: 22.28ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 1, tps: 52.00, reads: 714.96, writes: 0.00, response time: 21.85ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 1, tps: 50.00, reads: 708.02, writes: 0.00, response time: 22.27ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 1, tps: 49.00, reads: 688.93, writes: 0.00, response time: 24.19ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 50.01, reads: 702.09, writes: 0.00, response time: 21.72ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 1, tps: 50.00, reads: 698.96, writes: 0.00, response time: 22.66ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 1, tps: 39.00, reads: 546.02, writes: 0.00, response time: 24.19ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 1, tps: 51.99, reads: 720.93, writes: 0.00, response time: 21.01ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 1, tps: 48.01, reads: 679.08, writes: 0.00, response time: 21.04ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 1, tps: 52.00, reads: 722.96, writes: 0.00, response time: 21.29ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 1, tps: 50.00, reads: 700.01, writes: 0.00, response time: 23.64ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 1, tps: 50.00, reads: 698.98, writes: 0.00, response time: 21.94ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 1, tps: 53.00, reads: 740.06, writes: 0.00, response time: 20.80ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 1, tps: 51.00, reads: 720.95, writes: 0.00, response time: 20.86ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 52.00, reads: 721.05, writes: 0.00, response time: 21.01ms (95%), errors: 0.00, reconnects:  0.00
