sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 1, tps: 252.18, reads: 3533.55, writes: 0.00, response time: 5.04ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 1, tps: 286.02, reads: 4011.31, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 1, tps: 278.00, reads: 3896.01, writes: 0.00, response time: 4.30ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 1, tps: 287.00, reads: 4017.97, writes: 0.00, response time: 3.89ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 1, tps: 292.96, reads: 4098.47, writes: 0.00, response time: 3.85ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 1, tps: 287.03, reads: 4015.48, writes: 0.00, response time: 4.27ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 1, tps: 296.01, reads: 4139.09, writes: 0.00, response time: 3.80ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 1, tps: 287.00, reads: 4024.95, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 1, tps: 291.00, reads: 4072.00, writes: 0.00, response time: 3.95ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 1, tps: 286.00, reads: 4001.01, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 1, tps: 284.00, reads: 3983.03, writes: 0.00, response time: 3.79ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 1, tps: 276.00, reads: 3852.94, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 1, tps: 281.96, reads: 3956.44, writes: 0.00, response time: 3.96ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 1, tps: 276.04, reads: 3860.54, writes: 0.00, response time: 4.04ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 1, tps: 284.00, reads: 3974.02, writes: 0.00, response time: 3.95ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 1, tps: 282.00, reads: 3947.95, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 1, tps: 272.97, reads: 3820.53, writes: 0.00, response time: 4.16ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 1, tps: 279.04, reads: 3906.50, writes: 0.00, response time: 4.02ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 1, tps: 281.00, reads: 3945.07, writes: 0.00, response time: 3.96ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 275.99, reads: 3850.89, writes: 0.00, response time: 4.07ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 1, tps: 247.97, reads: 3483.60, writes: 0.00, response time: 5.49ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 1, tps: 277.03, reads: 3866.45, writes: 0.00, response time: 4.17ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 1, tps: 283.01, reads: 3968.09, writes: 0.00, response time: 3.86ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 1, tps: 279.00, reads: 3907.95, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 1, tps: 269.96, reads: 3782.50, writes: 0.00, response time: 4.08ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 1, tps: 267.03, reads: 3737.44, writes: 0.00, response time: 4.21ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 1, tps: 272.01, reads: 3808.11, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 1, tps: 276.00, reads: 3854.94, writes: 0.00, response time: 4.16ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 1, tps: 273.97, reads: 3838.59, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 270.03, reads: 3785.35, writes: 0.00, response time: 4.27ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 1, tps: 281.00, reads: 3925.06, writes: 0.00, response time: 4.06ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 1, tps: 275.00, reads: 3858.97, writes: 0.00, response time: 4.18ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 1, tps: 278.97, reads: 3896.53, writes: 0.00, response time: 3.94ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 1, tps: 238.03, reads: 3334.42, writes: 0.00, response time: 8.65ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 1, tps: 285.00, reads: 3994.04, writes: 0.00, response time: 3.92ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 1, tps: 280.99, reads: 3940.87, writes: 0.00, response time: 3.90ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 1, tps: 273.99, reads: 3835.79, writes: 0.00, response time: 4.10ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 1, tps: 275.02, reads: 3837.27, writes: 0.00, response time: 4.10ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 1, tps: 283.00, reads: 3965.03, writes: 0.00, response time: 3.78ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 241.00, reads: 3382.00, writes: 0.00, response time: 5.82ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 1, tps: 278.96, reads: 3907.43, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 1, tps: 210.03, reads: 2938.41, writes: 0.00, response time: 4.26ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 1, tps: 279.00, reads: 3898.06, writes: 0.00, response time: 4.12ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 1, tps: 277.99, reads: 3897.89, writes: 0.00, response time: 4.06ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 1, tps: 254.97, reads: 3563.57, writes: 0.00, response time: 5.12ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 1, tps: 273.03, reads: 3828.48, writes: 0.00, response time: 4.78ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 1, tps: 278.01, reads: 3885.12, writes: 0.00, response time: 3.96ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 1, tps: 269.99, reads: 3776.91, writes: 0.00, response time: 4.21ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 1, tps: 272.97, reads: 3821.52, writes: 0.00, response time: 4.04ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 273.04, reads: 3830.49, writes: 0.00, response time: 4.08ms (95%), errors: 0.00, reconnects:  0.00
