sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 1, tps: 41.03, reads: 583.41, writes: 0.00, response time: 27.13ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 1, tps: 41.00, reads: 572.02, writes: 0.00, response time: 26.91ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 1, tps: 42.00, reads: 582.00, writes: 0.00, response time: 28.50ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 1, tps: 39.99, reads: 571.92, writes: 0.00, response time: 30.42ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 1, tps: 41.00, reads: 562.06, writes: 0.00, response time: 29.07ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 1, tps: 42.00, reads: 588.00, writes: 0.00, response time: 26.63ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 1, tps: 42.00, reads: 597.00, writes: 0.00, response time: 27.47ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 1, tps: 43.00, reads: 597.93, writes: 0.00, response time: 25.92ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 1, tps: 40.00, reads: 560.06, writes: 0.00, response time: 28.15ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 1, tps: 42.00, reads: 594.01, writes: 0.00, response time: 27.08ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 1, tps: 43.00, reads: 603.00, writes: 0.00, response time: 26.78ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 1, tps: 43.00, reads: 601.00, writes: 0.00, response time: 26.59ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 1, tps: 44.00, reads: 617.00, writes: 0.00, response time: 25.10ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 1, tps: 43.00, reads: 599.01, writes: 0.00, response time: 27.61ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 1, tps: 43.00, reads: 604.99, writes: 0.00, response time: 27.34ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 1, tps: 43.00, reads: 591.01, writes: 0.00, response time: 27.47ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 1, tps: 43.00, reads: 610.99, writes: 0.00, response time: 25.69ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 1, tps: 42.00, reads: 583.01, writes: 0.00, response time: 26.19ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 1, tps: 42.00, reads: 591.99, writes: 0.00, response time: 27.53ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 41.00, reads: 565.94, writes: 0.00, response time: 27.18ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 1, tps: 40.00, reads: 561.05, writes: 0.00, response time: 29.17ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 1, tps: 41.00, reads: 575.02, writes: 0.00, response time: 26.59ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 1, tps: 40.00, reads: 566.99, writes: 0.00, response time: 27.01ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 1, tps: 42.00, reads: 589.93, writes: 0.00, response time: 25.71ms (95%), errors: 0.00, reconnects:  0.00
